<details> <summary> <b>openwrt-passwall new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/Openwrt-Passwall/openwrt-passwall/compare/04bf780db869e23082496f98cc648e5967b9a6d9...2155bdc22b9ace9225207de263de27ef849d57e8)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
2155bdc2|A-BO|Mon Aug 31 23:04:15 2026 +0800|luci: optimize shunt route
7d1d1cef|A-BO|Mon Aug 31 16:15:42 2026 +0800|luci: repair and optimize
2e5e6b9a|A-BO|Sun Aug 30 15:47:12 2026 +0800|luci: adjust and optimize
bbd09893|A-BO|Sat Aug 29 22:38:05 2026 +0800|luci: enhance backup and restore functionality
93695ef4|lwb1978|Sat Aug 29 02:24:49 2026 +0800|luci: optimize filter node ip
3438bb2b|A-BO|Fri Aug 28 16:52:46 2026 +0800|luci: set sing-box fakedns `remote_rewrite_ttl` to fixed 30s
cb25935e|A-BO|Fri Aug 28 13:20:34 2026 +0800|luci: Fix sniffing excluded domains in xray
06815f9f|A-BO|Fri Aug 28 09:53:47 2026 +0800|luci: support hysteria2 realm `portMapping`
b7de80c3|A-BO|Fri Aug 28 08:56:17 2026 +0800|luci: support hysteria2 ech
d3ed7d7d|A-BO|Thu Aug 27 23:56:18 2026 +0800|luci: optimize the geoview cache cleanup logic
e1c877d7|A-BO|Thu Aug 27 22:26:10 2026 +0800|luci: optimize rule update logic
04be41df|A-BO|Thu Aug 27 20:25:15 2026 +0800|luci: fix IPv6 DNS
244af3d5|A-BO|Thu Aug 27 16:36:23 2026 +0800|luci: optimize firewall filter vpsip
06c016b9|A-BO|Thu Aug 27 01:04:06 2026 +0800|luci: improved js luci logic
04bf780d|A-BO|Thu Aug 27 01:04:06 2026 +0800|luci: improved js luci logic
</details>
