<details> <summary> <b>luci new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/immortalwrt/luci/compare/5d8f03d355c8932e57961243a778ea1687553f51...3608386a77a41c167c8ee7a4221d787d4702d3c2)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
3608386a77|Tianling Shen|Mon Jul 27 12:13:11 2026 +0800|Merge Official Source
37279809c2|Hannu Nyman|Sun Jul 26 23:07:28 2026 +0300|luci-base: sync translations
46a6849ad9|Hannu Nyman|Sun Jul 26 22:57:49 2026 +0300|luci-proto-wireguard: escape slash in regex in javascript
300b563f7b|Hannu Nyman|Sun Jul 26 22:57:38 2026 +0300|treewide: escape slash chars in regex strings in .js files
35e46cd9cf|Dirk Brenken|Sun Jul 26 21:34:57 2026 +0200|luci-app-adblock: fix dropped and unescaped map entries
be08889299|Dirk Brenken|Sun Jul 26 19:26:36 2026 +0200|luci-app-banip: several map improvements
fc5ce458ac|Andy Chiang|Sat Jul 25 17:49:51 2026 +0700|luci-app-ddns: fix syntax error
b0db6e77e5|Hauke Mehrtens|Sat Jul 4 01:50:45 2026 +0200|luci-mod-network: wireless: add gcmp256, sae_ext_key, transition_disable
c6a99a74f4|Hauke Mehrtens|Sat Jul 4 01:50:45 2026 +0200|luci-mod-network: wireless: add WPA3-Personal Compatibility Mode
58d43e57af|Jo-Philipp Wich|Fri Jul 24 11:56:35 2026 +0200|rpcd: fix file ACLs for symlinked /proc paths
7ef993840a|Hannu Nyman|Thu Jul 23 23:04:43 2026 +0300|treewide: backport and sync translations.
e03260dd7c|Hauke Mehrtens|Tue Jul 21 22:38:48 2026 +0200|luci-proto-ipv6: dhcpv6: add option to select the DHCPv6 client ID
be10db9f09|Hauke Mehrtens|Tue Jul 21 22:38:48 2026 +0200|luci-base: protocol/dhcp: add option to select the DHCPv4 client ID
</details>
