<details> <summary> <b>lede new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/coolsnowwolf/lede/compare/f7fd86eaa58c29fed97da04ab219c74a835a9358...225a47e34bae357ab76bf62252177b0c15c8ebba)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
225a47e34|coolsnowwolf|Tue Sep 1 00:31:25 2026 +0800|kernel: bump all to latest HEAD
7ecd05452|coolsnowwolf|Mon Aug 31 23:42:43 2026 +0800|scripts/package-metadata.pl: strip already selected conditions from dependencies
49b6187e3|coolsnowwolf|Mon Aug 31 23:42:11 2026 +0800|iptables: move libiptext libraries to separate packages
58dd9b9cb|coolsnowwolf|Mon Aug 31 23:31:59 2026 +0800|feeds.conf: adjust config defaults
4cc197413|coolsnowwolf|Mon Aug 31 22:48:14 2026 +0800|uboot-mvebu: update to 2026.04
325312ef2|coolsnowwolf|Mon Aug 31 22:17:54 2026 +0800|mac80211: update to 6.18.39
fe10a9833|ZeaKyX|Mon Aug 31 22:01:53 2026 +0800|tools: bison: do not install or uninstall macros (#14123)
475b4b5b0|coolsnowwolf|Mon Aug 31 21:06:14 2026 +0800|zynq: add Linux 6.18 testing support
88df6da9b|coolsnowwolf|Mon Aug 31 20:50:28 2026 +0800|uml: add Linux 6.18 testing support
1bc392dd9|coolsnowwolf|Mon Aug 31 20:41:20 2026 +0800|stm32: add Linux 6.18 testing support
e43d9353c|coolsnowwolf|Mon Aug 31 20:34:00 2026 +0800|starfive: add Linux 6.18 testing support
ec49935ca|coolsnowwolf|Mon Aug 31 20:23:18 2026 +0800|siflower: add Linux 6.18 testing support
4093fc410|coolsnowwolf|Mon Aug 31 20:16:02 2026 +0800|sifiveu: add Linux 6.18 testing support
4a1912871|coolsnowwolf|Mon Aug 31 20:02:47 2026 +0800|realtek: add Linux 6.18 testing support
06a854a71|coolsnowwolf|Mon Aug 31 19:41:17 2026 +0800|qualcommax: add Linux 6.18 NSS testing support


</details>
