<details> <summary> <b>packages new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/coolsnowwolf/packages/compare/bcc1adfa10c98e5183785d015e4d50ef98f04ab3...8c61e55f5b3f9fa285cd7cea0667f09df3855f34)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
8c61e55f|lean|Mon Aug 31 15:10:58 2026 +0800|openvpn: use native DCO driver on Linux 6.16+
75a27d75|lean|Mon Aug 31 15:10:58 2026 +0800|strongswan: fix ChaCha20-Poly1305 kernel dependency
af9653b4|coolsnowwolf|Mon Aug 31 08:58:38 2026 +0800|shorewall6-lite: sync with OpenWrt
f50d6a9b|coolsnowwolf|Mon Aug 31 08:57:28 2026 +0800|shorewall6: sync with OpenWrt
3f9bb83f|coolsnowwolf|Mon Aug 31 05:40:44 2026 +0800|audit: move package to base
fc05a91d|coolsnowwolf|Mon Aug 31 02:19:32 2026 +0800|openal-soft: add package
3f2d50ee|coolsnowwolf|Mon Aug 31 02:16:45 2026 +0800|tiff: update to 4.7.1
89be1cdf|coolsnowwolf|Mon Aug 31 01:37:53 2026 +0800|ooniprobe: update to 3.30.0
4fb92c0a|coolsnowwolf|Mon Aug 31 01:30:59 2026 +0800|geth: update to 1.17.5
3a7c4afb|coolsnowwolf|Mon Aug 31 01:24:12 2026 +0800|headscale: update to 0.29.3
cbc46a5a|coolsnowwolf|Mon Aug 31 01:03:01 2026 +0800|spotifyd: fix build with current Rust and musl
15f269b5|coolsnowwolf|Mon Aug 31 00:49:17 2026 +0800|perl-www-curl: fix build with curl 8.13
42a301d6|coolsnowwolf|Mon Aug 31 00:43:35 2026 +0800|ipfs-http-client: fix build with current toolchain
53bd2c5a|coolsnowwolf|Mon Aug 31 00:40:37 2026 +0800|baidupcs-go: fix build with recent Go
5ac79350|coolsnowwolf|Mon Aug 31 00:29:51 2026 +0800|lcd4linux: update package fixes


</details>
