<details> <summary> <b>telephony new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/coolsnowwolf/telephony/compare/a04b7acfd30a6f8f4d78e62955376c4febcb0976...d3bcb153813b1ff34b3dd0f1bf0dc913984f2921)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
d3bcb15|coolsnowwolf|Mon Aug 31 02:57:23 2026 +0800|rem: remove obsolete package
6322226|coolsnowwolf|Mon Aug 31 02:47:32 2026 +0800|freetdm: update FreeSWITCH PCRE2 compatibility
c7ed8ee|coolsnowwolf|Mon Aug 31 02:31:54 2026 +0800|freeswitch: update OpenWrt fixes for FFmpeg 9
dc6a9a9|coolsnowwolf|Mon Aug 31 02:27:24 2026 +0800|spandsp3: fix source hash for LEDE
64ae1af|coolsnowwolf|Mon Aug 31 02:18:16 2026 +0800|spandsp3: update to 2025-07-07 snapshot
cc7454c|coolsnowwolf|Mon Aug 31 02:03:08 2026 +0800|baresip: update to 3.16.0
14662db|coolsnowwolf|Mon Aug 31 01:59:27 2026 +0800|re: update to 3.16.0
96a7b7c|coolsnowwolf|Mon Aug 31 01:54:01 2026 +0800|libpri: update to 1.6.1
d16928e|coolsnowwolf|Mon Aug 31 01:50:29 2026 +0800|dahdi-tools: update to 3.4.0
3acfaff|coolsnowwolf|Mon Aug 31 01:48:37 2026 +0800|dahdi-linux: update to 3.4.0
8e00c40|coolsnowwolf|Mon Aug 31 01:44:52 2026 +0800|oslec: add version 0.3.0
</details>
