<details> <summary> <b>luci new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/openwrt/luci/compare/fc5ce458ac0014ee64b2cf93e4140b5d2e63916a...96c588b7c10e3207869a4fd770608b4edab62588)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
96c588b7c1|Dirk Brenken|Fri Jul 31 15:51:55 2026 +0200|luci-app-travelmate: fix rpcd file access on symlinked /var/run
12b2260609|Dirk Brenken|Fri Jul 31 15:30:12 2026 +0200|luci-app-banip: fix rpcd file access on symlinked /var/run
b1e84f4f7e|Dirk Brenken|Fri Jul 31 14:58:42 2026 +0200|luci-app-adblock: fix rpcd file access on symlinked /var/run
b61f907ec4|Hannu Nyman|Tue Jul 28 23:30:34 2026 +0300|luci-lua-runtime: update timezone data to 2026c
8faf80b5dc|Hannu Nyman|Tue Jul 28 23:30:18 2026 +0300|luci-base: update timezone data to 2026c
37279809c2|Hannu Nyman|Sun Jul 26 23:07:28 2026 +0300|luci-base: sync translations
46a6849ad9|Hannu Nyman|Sun Jul 26 22:57:49 2026 +0300|luci-proto-wireguard: escape slash in regex in javascript
300b563f7b|Hannu Nyman|Sun Jul 26 22:57:38 2026 +0300|treewide: escape slash chars in regex strings in .js files
35e46cd9cf|Dirk Brenken|Sun Jul 26 21:34:57 2026 +0200|luci-app-adblock: fix dropped and unescaped map entries
be08889299|Dirk Brenken|Sun Jul 26 19:26:36 2026 +0200|luci-app-banip: several map improvements
</details>
