<details> <summary> <b>packages new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/openwrt/packages/compare/1db6cd846c1c72d77ce38eec28b749affc44b7a0...3f6b95b5158040c8b0ef3e7d5e456589344694d5)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
3f6b95b51|Nick Hainke|Wed Aug 19 12:04:17 2026 +0200|uneighbord: add uneighbord
34cd86c58|Chester A. Unal|Sat Aug 29 19:05:25 2026 +0100|bsbf-resources: update to GIT HEAD of 2026-08-29
ccb80a60e|Jeffery To|Fri Aug 21 08:15:58 2026 +0800|slide-switch: update to 1.0.1
2bbb6acbe|Chris Swan|Tue Aug 25 11:38:59 2026 +0100|csshnpd: bump to c1.0.20 release
a970210a4|Dirk Brenken|Thu Aug 27 14:00:04 2026 +0200|adblock: replace the CARTO basemap with local outlines
e5d9d775f|Daniel Golle|Fri Aug 21 14:40:13 2026 +0100|exim: update to 4.100
e13ff2771|Daniel Golle|Tue Jun 9 08:13:24 2026 +0100|exim: update to version 4.99.4
5b51bcb10|Daniel Golle|Fri May 8 18:14:04 2026 +0100|exim: update to 4.99.3 (security release)
fe52fc4d1|Dirk Brenken|Thu Aug 27 11:06:55 2026 +0200|banip: replace the CARTO basemap with local outlines
</details>
